#MapName
../resource/MapObejct/20240720120407278_100000000.png
#LineCollider
14
-1187.557129	-1100.390503	102.442787	-1104.390503
102.442787	-1104.390503	258.442810	-1220.390503
258.442810	-1220.390503	456.442841	-1216.390503
456.442841	-1216.390503	618.442871	-1340.390503
618.484131	-1338.390503	3356.455811	-1340.390503
2572.455811	-1278.390503	2744.455811	-1280.390503
2398.455811	-1160.390503	2570.455811	-1168.390503
2386.455811	-1048.390503	2220.455811	-1046.390503
2200.455811	-922.390442	2034.455811	-920.390503
2026.455811	-802.390503	1848.455811	-796.390503
-39.419556	-678.390503	1838.580322	-688.390503
1756.580566	-554.390503	2028.580444	-564.390503
1942.580566	-440.390503	2200.580566	-446.390472
2302.732666	-320.423676	3996.732666	-326.423645
